1, 22-01-2018 13:00:01, ON, Stop1, Company1, Bus37, 5500005555555559
2, 22-01-2018 13:05:01, OFF, Stop2, Company1, Bus37, 5500005555555559
3, 22-01-2018 13:05:01, OFF, Stop3, Company1, Bus37, 3456765456764567
4, 22-01-2018 13:05:01, ON, Stop1, Company1, Bus37, 5500005555555559
5, 22-01-2018 13:05:01, OFF, Stop3, Company1, Bus37, 3456765456764567
6, 22-01-2018 13:05:01, ON, Stop1, Company1, Bus37, 5500005555555559
7, 22-01-2018 13:05:01, OFF, Stop2, Company1, Bus37, 3456765456764567
8, 22-01-2018 13:05:01, ON, Stop3, Company1, Bus37, 5500005555555559
9, 22-01-2018 13:05:01, OFF, Stop3, Company1, Bus37, 5500005555555559
10, 22-01-2018 13:05:01, ON, Stop1, Company1, Bus37, 3456765456764567
11, 22-01-2018 13:05:01, OFF, Stop3, Company1, Bus37, 5500005555555559
12, 22-01-2018 13:05:01, OFF, Stop1, Company1, Bus37, 3456765456764567
13, 22-01-2018 13:05:01, ON, Stop2, Company1, Bus37, 5500005555555559
14, 22-01-2018 13:05:01, ON, Stop3, Company1, Bus37, 6537309768565746
15, 22-01-2018 13:05:01, OFF, Stop3, Company1, Bus37, 5500005555555559
16, 22-01-2018 13:05:01, ON, Stop1, Company1, Bus37, 3456765456764567
17, 22-01-2018 13:05:01, OFF, Stop2, Company1, Bus37, 6537309768565746
18, 22-01-2018 13:05:01, ON, Stop3, Company1, Bus37, 5500005555555559
19, 22-01-2018 13:05:01, OFF, Stop3, Company1, Bus37, 6537309768565746
20, 22-01-2018 13:05:01, ON, Stop1, Company1, Bus37, 5500005555555559
